week,date,homeTeam,awayTeam,predictedWinner,confidence,edge,betRecommendation,actualWinner,actualScore,correct
14,2024-12-08,NO,NYG,NO,98,11.5,BET,NO,14-11,true
14,2024-12-08,JAX,TEN,JAX,74,3.1,BET,JAX,10-6,true
14,2024-12-08,CLE,PIT,PIT,76,3.5,BET,PIT,27-14,true
14,2024-12-08,LV,TB,LV,68,2.3,NO BET,TB,28-13,false
14,2024-12-08,SEA,ARI,SEA,85,5.3,BET,SEA,30-18,true
14,2024-12-09,LAR,BUF,LAR,57,0.8,NO BET,BUF,44-42,false
14,2024-12-09,CIN,DAL,CIN,88,6.1,BET,CIN,27-20,true
15,2024-12-12,LAR,SF,LAR,79,4.0,BET,LAR,12-6,true
15,2024-12-15,PIT,PHI,PIT,81,4.3,BET,PHI,27-13,false
15,2024-12-15,KC,CLE,KC,67,2.2,NO BET,KC,21-7,true
15,2024-12-15,WAS,NO,NO,76,3.5,BET,WAS,20-19,false
15,2024-12-15,NYG,BAL,BAL,56,0.7,NO BET,BAL,35-14,true
15,2024-12-15,DAL,CAR,CAR,53,0.3,NO BET,DAL,30-14,false
15,2024-12-15,MIA,HOU,MIA,57,0.9,NO BET,HOU,20-12,false
15,2024-12-15,JAX,NYJ,JAX,81,4.3,BET,JAX,32-25,true
15,2024-12-15,TEN,CIN,TEN,80,4.2,BET,CIN,37-27,false
15,2024-12-15,NE,ARI,NE,74,3.1,BET,ARI,30-17,false
15,2024-12-16,LAC,TB,LAC,91,7.0,BET,TB,40-17,false
15,2024-12-16,DEN,IND,DEN,67,2.1,NO BET,DEN,31-13,true
15,2024-12-16,MIN,CHI,MIN,76,3.4,BET,MIN,30-12,true
15,2024-12-17,DET,BUF,DET,75,3.3,BET,DET,48-42,true
16,2024-12-19,CLE,CIN,CLE,66,2.0,NO BET,CIN,24-6,false
16,2024-12-21,TB,DAL,TB,84,5.1,BET,TB,26-24,true
16,2024-12-22,SEA,CHI,SEA,89,6.4,BET,CHI,6-3,false
16,2024-12-22,HOU,KC,HOU,75,3.3,BET,KC,27-19,false
16,2024-12-22,LAC,DEN,LAC,92,7.2,BET,LAC,34-27,true
16,2024-12-22,IND,TEN,TEN,55,0.6,NO BET,IND,38-30,false
16,2024-12-22,ARI,CAR,ARI,71,2.7,NO BET,CAR,36-30,false
16,2024-12-22,NYG,ATL,ATL,74,3.1,BET,ATL,34-7,true
16,2024-12-22,PHI,WAS,PHI,76,3.4,BET,WAS,36-33,false
16,2024-12-22,DET,CHI,DET,88,6.1,BET,DET,34-17,true
16,2024-12-22,LV,JAX,LV,53,0.4,NO BET,LV,19-14,true
16,2024-12-22,BUF,NE,BUF,73,3.0,NO BET,BUF,24-21,true
16,2024-12-23,BAL,PIT,PIT,71,2.7,NO BET,BAL,34-17,false
16,2024-12-23,NO,GB,NO,94,8.1,BET,GB,34-0,false
17,2024-12-25,KC,PIT,PIT,60,1.2,NO BET,KC,29-10,false
17,2024-12-25,BAL,HOU,BAL,57,0.9,NO BET,HOU,31-2,false
17,2024-12-26,CHI,SEA,SEA,70,2.5,NO BET,SEA,6-3,true
17,2024-12-29,DAL,PHI,PHI,70,2.5,NO BET,PHI,41-7,true
17,2024-12-29,CAR,TB,CAR,53,0.3,NO BET,TB,48-14,false
17,2024-12-29,TEN,JAX,TEN,60,1.2,NO BET,TEN,20-13,true
17,2024-12-29,NYJ,BUF,NYJ,69,2.4,NO BET,BUF,40-14,false
17,2024-12-29,MIN,GB,MIN,85,5.3,BET,MIN,27-25,true
17,2024-12-29,LAR,ARI,LAR,83,4.8,BET,LAR,13-9,true
17,2024-12-29,NE,LAC,LAC,75,3.3,BET,LAC,40-7,true
17,2024-12-29,IND,NYG,IND,74,3.2,BET,IND,45-33,true
17,2024-12-29,CIN,DEN,CIN,62,1.4,NO BET,CIN,30-24,true
17,2024-12-30,CLE,MIA,CLE,64,1.7,NO BET,MIA,20-3,false
17,2024-12-30,LV,NO,NO,62,1.5,NO BET,LV,25-10,false
18,2025-01-04,ATL,CAR,ATL,88,6.1,BET,ATL,44-38,true
18,2025-01-05,GB,CHI,GB,68,2.3,NO BET,GB,24-22,true
18,2025-01-05,JAX,IND,JAX,81,4.4,BET,JAX,26-23,true
18,2025-01-05,NO,TB,NO,94,8.5,BET,NO,27-19,true
18,2025-01-05,NYG,PHI,NYG,54,0.5,NO BET,PHI,20-13,false
18,2025-01-05,WAS,DAL,WAS,82,4.6,BET,WAS,23-19,true
18,2025-01-05,ARI,SF,ARI,69,2.4,NO BET,ARI,47-24,true
18,2025-01-05,LAC,LV,LAC,80,4.2,BET,LAC,34-20,true
18,2025-01-05,SEA,LAR,SEA,75,3.3,BET,LAR,30-25,false
18,2025-01-05,NE,BUF,NE,74,3.1,BET,BUF,23-16,false
18,2025-01-05,TEN,HOU,TEN,79,4.0,BET,HOU,23-14,false
18,2025-01-05,CLE,BAL,CLE,68,2.3,NO BET,BAL,35-10,false
18,2025-01-05,KC,DEN,KC,76,3.5,BET,DEN,38-0,false
18,2025-01-05,DET,MIN,DET,78,3.8,BET,DET,31-9,true
18,2025-01-05,PIT,CIN,PIT,87,5.6,BET,PIT,19-17,true
18,2025-01-05,MIA,NYJ,MIA,55,0.6,NO BET,MIA,32-20,true
