Rank,Player,Position,Team,Game,Anytime TD Probability (%),Recent TD Rate,Red Zone Opps,Explosiveness,Consistency,Season TDs,Implied Odds
33,Brycen Tremayne,WR,CAR,ATL @ CAR,42.9,1.00,3.2,1.000,1.00,2,+133
34,Dontayvion Wicks,WR,GB,GB @ CLE,42.9,1.00,3.2,1.000,1.00,2,+133
35,Devaughn Vele,WR,NO,NO @ SEA,42.9,1.00,3.2,1.000,1.00,2,+133
36,Tre Tucker,WR,LV,LV @ WAS,42.8,1.50,4.8,0.167,0.50,3,+134
37,Adam Thielen,WR,MIN,CIN @ MIN,42.6,1.00,3.2,0.500,1.00,2,+135
38,Dylan Sampson,RB,CLE,GB @ CLE,42.5,1.50,4.1,0.000,0.50,3,+135
39,Josh Jacobs,RB,GB,GB @ CLE,42.5,1.50,4.5,0.250,0.50,3,+135
40,Ja'Quinden Jackson,RB,JAX,HOU @ JAX,42.5,1.50,4.1,0.000,0.50,3,+135
41,Chase Brown,RB,CIN,CIN @ MIN,42.5,1.50,4.5,0.200,0.50,3,+135
42,Cam Akers,RB,MIN,CIN @ MIN,42.5,1.50,4.1,0.000,0.50,3,+135
43,Aaron Jones Sr.,RB,MIN,CIN @ MIN,42.5,1.50,4.1,0.000,0.50,3,+135
44,TreVeyon Henderson,RB,NE,PIT @ NE,42.5,1.50,3.8,0.000,0.50,3,+135
45,Jaylen Warren,RB,PIT,PIT @ NE,42.5,1.50,3.8,0.000,0.50,3,+135
46,Kaleb Johnson,RB,PIT,PIT @ NE,42.5,1.50,3.8,0.000,0.50,3,+135
47,Tony Pollard,RB,TEN,IND @ TEN,42.5,1.50,4.5,0.167,0.50,3,+135
48,Jordan Mims,RB,TEN,IND @ TEN,42.5,1.50,4.1,0.000,0.50,3,+135
49,Kalel Mullings,RB,TEN,IND @ TEN,42.5,1.50,4.1,0.000,0.50,3,+135
50,Breece Hall,RB,NYJ,NYJ @ TB,42.5,1.50,4.1,0.200,0.50,3,+135
51,Bucky Irving,RB,TB,NYJ @ TB,42.5,1.50,3.8,0.000,0.50,3,+135
52,Sean Tucker,RB,TB,NYJ @ TB,42.5,1.50,4.1,0.000,0.50,3,+135
53,Tyler Badie,RB,DEN,DEN @ LAC,42.5,1.50,4.1,0.000,0.50,3,+135
54,Kendre Miller,RB,NO,NO @ SEA,42.5,1.50,3.8,0.000,0.50,3,+135
55,Chris Tyree,RB,NO,NO @ SEA,42.5,1.50,4.5,0.000,0.50,3,+135
56,Hunter Luepke,RB,DAL,DAL @ CHI,42.5,1.50,4.1,0.000,0.50,3,+135
57,James Conner,RB,ARI,ARI @ SF,42.5,1.50,4.1,0.500,0.50,3,+135
58,Joe Mixon,RB,HOU,HOU @ JAX,41.8,2.00,5.3,0.000,0.00,4,+139
59,Travis Etienne Jr.,RB,JAX,HOU @ JAX,41.8,2.00,5.3,0.000,0.00,4,+139
60,Jeremy McNichols,RB,WAS,LV @ WAS,41.8,2.00,5.3,0.000,0.00,4,+139
61,Jaleel McLaughlin,RB,DEN,DEN @ LAC,41.8,2.00,5.3,0.000,0.00,4,+139
62,Adam Prentice,RB,DEN,DEN @ LAC,41.8,2.00,5.3,0.000,0.00,4,+139
63,Jaydon Blue,RB,DAL,DAL @ CHI,41.8,2.00,5.3,0.000,0.00,4,+139
64,Keaton Mitchell,RB,BAL,DET @ BAL,41.8,2.00,5.7,0.000,0.00,4,+139
65,A.J. Brown,WR,PHI,LAR @ PHI,41.4,2.00,6.4,0.000,1.00,4,+141
66,Trey Benson,RB,ARI,ARI @ SF,41.4,1.00,2.5,0.056,1.00,2,+141
67,Tyler Allgeier,RB,ATL,ATL @ CAR,41.0,1.00,2.9,0.000,1.00,2,+144
68,Chuba Hubbard,RB,CAR,ATL @ CAR,41.0,1.00,3.2,0.000,1.00,2,+144
69,Malachi Corley,WR,CLE,GB @ CLE,41.0,1.00,3.2,0.333,1.00,2,+144
70,Bhayshul Tuten,RB,JAX,HOU @ JAX,41.0,1.00,2.9,0.000,1.00,2,+144
71,Omarion Hampton,RB,LAC,DEN @ LAC,41.0,1.00,2.9,0.000,1.00,2,+144
72,Kimani Vidal,RB,LAC,DEN @ LAC,41.0,1.00,2.9,0.000,1.00,2,+144
73,Alvin Kamara,RB,NO,NO @ SEA,41.0,1.00,2.9,0.000,1.00,2,+144
74,Cam Skattebo,RB,NYG,KC @ NYG,41.0,1.00,2.9,0.200,1.00,2,+144
75,Tyrone Tracy Jr.,RB,NYG,KC @ NYG,41.0,1.00,2.9,0.500,1.00,2,+144
76,Jaylen Waddle,WR,MIA,MIA @ BUF,40.9,1.50,4.8,0.143,0.50,3,+145
77,J.K. Dobbins,RB,DEN,DEN @ LAC,40.4,1.00,2.5,1.000,1.00,2,+148
78,Dyami Brown,WR,JAX,HOU @ JAX,39.6,1.00,3.2,0.500,0.00,2,+153
79,Sterling Shepard,WR,TB,NYJ @ TB,39.5,1.00,3.2,0.250,1.00,2,+153
80,RJ Harvey,RB,DEN,DEN @ LAC,38.7,1.00,2.5,0.000,1.00,2,+158
81,D'Andre Swift,RB,CHI,DAL @ CHI,38.7,1.00,2.5,0.000,1.00,2,+158
82,Javonte Williams,RB,DAL,DAL @ CHI,38.7,1.00,2.5,0.167,1.00,2,+158
83,Miles Sanders,RB,DAL,DAL @ CHI,38.7,1.00,2.5,0.500,1.00,2,+158
84,Elijah Mitchell,RB,KC,KC @ NYG,38.7,1.00,2.5,0.000,1.00,2,+158
85,David Montgomery,RB,DET,DET @ BAL,38.7,1.00,2.5,0.000,1.00,2,+158
86,Sione Vaki,RB,DET,DET @ BAL,38.7,1.00,2.5,0.000,1.00,2,+158
87,Savion Williams,WR,GB,GB @ CLE,38.2,1.00,3.2,0.333,0.00,2,+162
88,Jack Bech,WR,LV,LV @ WAS,38.2,1.00,3.2,0.333,0.00,2,+162
89,Puka Nacua,WR,LAR,LAR @ PHI,36.5,2.00,6.4,0.000,1.00,4,+174
90,Davante Adams,WR,LAR,LAR @ PHI,36.5,1.00,3.2,0.250,0.00,2,+174
91,Dillon Gabriel,QB,CLE,GB @ CLE,36.2,2.00,5.0,0.000,1.00,4,+176
92,Mason Rudolph,QB,PIT,PIT @ NE,36.2,2.00,5.0,0.200,1.00,4,+176
93,Jimmy Garoppolo,QB,LAR,LAR @ PHI,36.2,2.00,5.0,0.000,1.00,4,+176
94,Russell Wilson,QB,NYG,KC @ NYG,36.2,2.00,5.0,0.000,1.00,4,+176
95,Wan'Dale Robinson,WR,NYG,KC @ NYG,36.2,1.00,3.2,0.167,1.00,2,+176
96,Clyde Edwards-Helaire,RB,KC,KC @ NYG,35.8,1.50,4.1,0.000,0.00,3,+180
97,Devin Singletary,RB,NYG,KC @ NYG,35.8,1.50,4.1,0.000,0.00,3,+180
98,Rasheen Ali,RB,BAL,DET @ BAL,35.8,1.50,4.1,0.000,0.00,3,+180
99,Craig Reynolds,RB,DET,DET @ BAL,35.8,1.50,4.1,0.000,0.00,3,+180
100,Garrett Wilson,WR,NYJ,NYJ @ TB,35.2,1.50,4.8,0.000,0.50,3,+184
101,Allen Lazard,WR,NYJ,NYJ @ TB,35.1,1.00,3.2,0.250,0.00,2,+185
102,George Holani,RB,SEA,NO @ SEA,35.1,1.00,2.9,0.167,0.00,2,+185
103,Jaxon Smith-Njigba,WR,SEA,NO @ SEA,35.1,1.00,3.2,0.200,0.00,2,+185
104,Tory Horton,WR,SEA,NO @ SEA,35.1,1.00,3.2,0.250,0.00,2,+185
105,Michael Wilson,WR,ARI,ARI @ SF,35.1,1.00,3.2,0.200,0.00,2,+185
106,DeMario Douglas,WR,NE,PIT @ NE,34.6,1.00,3.2,0.250,1.00,2,+189
107,Travis Kelce,TE,KC,KC @ NYG,34.3,1.50,4.5,0.286,0.50,3,+191
108,Tyler Johnson,WR,NYJ,NYJ @ TB,34.2,1.00,3.2,0.111,1.00,2,+192
109,Hunter Renfrow,WR,CAR,ATL @ CAR,33.4,0.50,1.6,1.000,0.50,1,+199
110,Jamari Thrash,WR,CLE,GB @ CLE,33.4,0.50,1.6,0.500,0.50,1,+199
111,Matthew Golden,WR,GB,GB @ CLE,33.4,0.50,1.6,1.000,0.50,1,+199
112,Xavier Hutchinson,WR,HOU,HOU @ JAX,33.4,0.50,1.6,1.000,0.50,1,+199
113,Tank Dell,WR,HOU,HOU @ JAX,33.4,0.50,1.6,0.500,0.50,1,+199
114,Jordan Addison,WR,MIN,CIN @ MIN,33.4,0.50,1.6,0.500,0.50,1,+199
115,Kayshon Boutte,WR,NE,PIT @ NE,33.4,1.50,4.8,0.000,0.50,3,+199
116,Roman Wilson,WR,PIT,PIT @ NE,33.4,0.50,1.6,1.000,0.50,1,+199
117,Chris Godwin Jr.,WR,TB,NYJ @ TB,33.4,0.50,1.6,1.000,0.50,1,+199
118,Dont'e Thornton Jr.,WR,LV,LV @ WAS,33.4,0.50,1.6,1.000,0.50,1,+199
119,Luke McCaffrey,WR,WAS,LV @ WAS,33.4,0.50,1.6,1.000,0.50,1,+199
120,Troy Franklin,WR,DEN,DEN @ LAC,33.4,0.50,1.6,0.500,0.50,1,+199
121,Marvin Mims Jr.,WR,DEN,DEN @ LAC,33.4,0.50,1.6,1.000,0.50,1,+199
122,Rashid Shaheed,WR,NO,NO @ SEA,33.4,0.50,1.6,0.400,0.50,1,+199
123,KaVontae Turpin,WR,DAL,DAL @ CHI,33.4,0.50,1.6,0.667,0.50,1,+199
124,Jonathan Mingo,WR,DAL,DAL @ CHI,33.4,0.50,1.6,0.500,0.50,1,+199
125,Colby Parkinson,TE,LAR,LAR @ PHI,33.3,1.00,3.2,0.000,1.00,2,+200
126,Tyler Conklin,TE,LAC,DEN @ LAC,33.3,1.00,3.2,0.250,1.00,2,+200
127,Elijah Arroyo,TE,SEA,NO @ SEA,33.3,1.00,3.2,0.667,1.00,2,+200
128,CeeDee Lamb,WR,DAL,DAL @ CHI,33.3,1.00,3.2,0.100,1.00,2,+201
129,DJ Moore,WR,CHI,DAL @ CHI,33.1,1.00,3.2,0.143,0.00,2,+202
130,Joshua Palmer,WR,BUF,MIA @ BUF,33.0,0.50,1.6,0.500,0.50,1,+203
131,Amon-Ra St. Brown,WR,DET,DET @ BAL,33.0,1.50,4.8,0.000,0.50,3,+203
132,Cade Stover,TE,HOU,HOU @ JAX,32.9,1.00,3.2,0.500,1.00,2,+204
133,Chris Olave,WR,NO,NO @ SEA,32.5,1.00,3.2,0.111,0.00,2,+207
134,Jake Ferguson,TE,DAL,DAL @ CHI,32.5,1.00,3.2,0.167,1.00,2,+208
135,Daniel Bellinger,TE,NYG,KC @ NYG,32.4,1.00,3.2,0.333,1.00,2,+209
136,David Njoku,TE,CLE,GB @ CLE,32.3,1.00,3.2,0.250,1.00,2,+209
137,Jayden Higgins,WR,HOU,HOU @ JAX,32.2,0.50,1.6,0.333,0.50,1,+211
138,Harrison Bryant,TE,HOU,HOU @ JAX,32.2,1.00,3.2,0.000,1.00,2,+211
139,Andrei Iosivas,WR,CIN,CIN @ MIN,32.2,0.50,1.6,0.333,0.50,1,+211
140,Jake Tonges,TE,SF,ARI @ SF,32.2,1.00,3.2,0.125,1.00,2,+211
141,Tucker Kraft,TE,GB,GB @ CLE,31.9,1.00,3.2,0.000,1.00,2,+214
142,Skyy Moore,WR,SF,ARI @ SF,31.9,1.00,3.2,0.200,0.00,2,+214
143,Jayden Reed,WR,GB,GB @ CLE,31.8,0.50,1.6,0.333,0.50,1,+215
144,Elic Ayomanor,WR,TEN,IND @ TEN,31.8,1.50,4.8,0.000,0.50,3,+214
145,Jerry Jeudy,WR,CLE,GB @ CLE,31.5,1.00,3.2,0.077,0.00,2,+218
146,Tre Harris,WR,LAC,DEN @ LAC,31.5,0.50,1.6,0.333,0.50,1,+217
147,Chris Rodriguez Jr.,RB,WAS,LV @ WAS,31.1,1.00,2.5,0.111,0.00,2,+222
148,Ja'Tavion Sanders,TE,CAR,ATL @ CAR,31.0,1.00,3.2,0.000,1.00,2,+223
149,Xavier Worthy,WR,KC,KC @ NYG,31.0,0.50,1.6,0.333,0.50,1,+222
150,Noah Fant,TE,CIN,CIN @ MIN,30.9,1.00,3.2,0.250,1.00,2,+223
