Rank,Player,Position,Team,Game,Anytime TD Probability (%),Red Zone Targets,Red Zone Carries,Snap Share (%),Target Share (%),Team Quality
24,Joshua Palmer,WR,BUF,MIA @ BUF,23.0,2.6,0.0,70.0,22.0,1.30
25,Elijah Moore,WR,BUF,MIA @ BUF,23.0,2.6,0.0,70.0,22.0,1.30
26,Curtis Samuel,WR,BUF,MIA @ BUF,23.0,2.6,0.0,70.0,22.0,1.30
27,Tyrell Shavers,WR,BUF,MIA @ BUF,23.0,2.6,0.0,70.0,22.0,1.30
28,Gabe Davis,WR,BUF,MIA @ BUF,23.0,2.6,0.0,70.0,22.0,1.30
29,Jauan Jennings,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
30,Ricky Pearsall,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
31,Kendrick Bourne,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
32,Marquez Valdes-Scantling,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
33,Russell Gage Jr.,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
34,Demarcus Robinson,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
35,Skyy Moore,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
36,Jacob Cowing,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
37,Jordan Watkins,WR,SF,ARI @ SF,22.9,2.5,0.0,70.0,22.0,1.25
38,Jahan Dotson,WR,PHI,LAR @ PHI,22.8,2.4,0.0,70.0,22.0,1.20
39,Javon Baker,WR,PHI,LAR @ PHI,22.8,2.4,0.0,70.0,22.0,1.20
40,CeeDee Lamb,WR,DAL,DAL @ CHI,22.8,2.4,0.0,70.0,22.0,1.18
41,George Pickens,WR,DAL,DAL @ CHI,22.8,2.4,0.0,70.0,22.0,1.18
42,KaVontae Turpin,WR,DAL,DAL @ CHI,22.8,2.4,0.0,70.0,22.0,1.18
43,Jalen Tolbert,WR,DAL,DAL @ CHI,22.8,2.4,0.0,70.0,22.0,1.18
44,Jonathan Mingo,WR,DAL,DAL @ CHI,22.8,2.4,0.0,70.0,22.0,1.18
45,Zay Flowers,WR,BAL,DET @ BAL,22.8,2.4,0.0,70.0,22.0,1.18
46,Rashod Bateman,WR,BAL,DET @ BAL,22.8,2.4,0.0,70.0,22.0,1.18
47,DeAndre Hopkins,WR,BAL,DET @ BAL,22.8,2.4,0.0,70.0,22.0,1.18
48,Devontez Walker,WR,BAL,DET @ BAL,22.8,2.4,0.0,70.0,22.0,1.18
49,Tylan Wallace,WR,BAL,DET @ BAL,22.8,2.4,0.0,70.0,22.0,1.18
50,Jaylen Waddle,WR,MIA,MIA @ BUF,22.7,2.3,0.0,70.0,22.0,1.15
51,Malik Washington,WR,MIA,MIA @ BUF,22.7,2.3,0.0,70.0,22.0,1.15
52,Nick Westbrook-Ikhine,WR,MIA,MIA @ BUF,22.7,2.3,0.0,70.0,22.0,1.15
53,Theo Wease Jr.,WR,MIA,MIA @ BUF,22.7,2.3,0.0,70.0,22.0,1.15
54,Ja'Marr Chase,WR,CIN,CIN @ MIN,22.7,2.2,0.0,70.0,22.0,1.12
55,Tee Higgins,WR,CIN,CIN @ MIN,22.7,2.2,0.0,70.0,22.0,1.12
56,Andrei Iosivas,WR,CIN,CIN @ MIN,22.7,2.2,0.0,70.0,22.0,1.12
57,Mitchell Tinsley,WR,CIN,CIN @ MIN,22.7,2.2,0.0,70.0,22.0,1.12
58,Jermaine Burton,WR,CIN,CIN @ MIN,22.7,2.2,0.0,70.0,22.0,1.12
59,Amon-Ra St. Brown,WR,DET,DET @ BAL,22.7,2.2,0.0,70.0,22.0,1.12
60,Jameson Williams,WR,DET,DET @ BAL,22.7,2.2,0.0,70.0,22.0,1.12
61,Isaac TeSlaa,WR,DET,DET @ BAL,22.7,2.2,0.0,70.0,22.0,1.12
62,Kalif Raymond,WR,DET,DET @ BAL,22.7,2.2,0.0,70.0,22.0,1.12
63,Justin Jefferson,WR,MIN,CIN @ MIN,22.6,2.2,0.0,70.0,22.0,1.08
64,Jalen Nailor,WR,MIN,CIN @ MIN,22.6,2.2,0.0,70.0,22.0,1.08
65,Adam Thielen,WR,MIN,CIN @ MIN,22.6,2.2,0.0,70.0,22.0,1.08
66,Zavier Scott,WR,MIN,CIN @ MIN,22.6,2.2,0.0,70.0,22.0,1.08
67,Tai Felton,WR,MIN,CIN @ MIN,22.6,2.2,0.0,70.0,22.0,1.08
68,Jordan Addison,WR,MIN,CIN @ MIN,22.6,2.2,0.0,70.0,22.0,1.08
69,Ladd McConkey,WR,LAC,DEN @ LAC,22.6,2.2,0.0,70.0,22.0,1.08
70,Keenan Allen,WR,LAC,DEN @ LAC,22.6,2.2,0.0,70.0,22.0,1.08
71,Quentin Johnston,WR,LAC,DEN @ LAC,22.6,2.2,0.0,70.0,22.0,1.08
72,Tre Harris,WR,LAC,DEN @ LAC,22.6,2.2,0.0,70.0,22.0,1.08
73,KeAndre Lambert-Smith,WR,LAC,DEN @ LAC,22.6,2.2,0.0,70.0,22.0,1.08
74,Nico Collins,WR,HOU,HOU @ JAX,22.6,2.1,0.0,70.0,22.0,1.05
75,Christian Kirk,WR,HOU,HOU @ JAX,22.6,2.1,0.0,70.0,22.0,1.05
76,Jayden Higgins,WR,HOU,HOU @ JAX,22.6,2.1,0.0,70.0,22.0,1.05
77,Xavier Hutchinson,WR,HOU,HOU @ JAX,22.6,2.1,0.0,70.0,22.0,1.05
78,Jaylin Noel,WR,HOU,HOU @ JAX,22.6,2.1,0.0,70.0,22.0,1.05
79,Tank Dell,WR,HOU,HOU @ JAX,22.6,2.1,0.0,70.0,22.0,1.05
80,Romeo Doubs,WR,GB,GB @ CLE,22.5,2.0,0.0,70.0,22.0,1.02
81,Matthew Golden,WR,GB,GB @ CLE,22.5,2.0,0.0,70.0,22.0,1.02
82,Dontayvion Wicks,WR,GB,GB @ CLE,22.5,2.0,0.0,70.0,22.0,1.02
83,Savion Williams,WR,GB,GB @ CLE,22.5,2.0,0.0,70.0,22.0,1.02
84,Jayden Reed,WR,GB,GB @ CLE,22.5,2.0,0.0,70.0,22.0,1.02
85,Christian Watson,WR,GB,GB @ CLE,22.5,2.0,0.0,70.0,22.0,1.02
86,Puka Nacua,WR,LAR,LAR @ PHI,22.5,2.0,0.0,70.0,22.0,1.02
87,Tutu Atwell,WR,LAR,LAR @ PHI,22.5,2.0,0.0,70.0,22.0,1.02
88,Jordan Whittington,WR,LAR,LAR @ PHI,22.5,2.0,0.0,70.0,22.0,1.02
89,Mitchell Trubisky,QB,BUF,MIA @ BUF,22.5,0.0,0.4,98.0,0.0,1.30
90,Mac Jones,QB,SF,ARI @ SF,22.5,0.0,0.4,98.0,0.0,1.25
91,Brock Purdy,QB,SF,ARI @ SF,22.5,0.0,0.4,98.0,0.0,1.25
92,Isiah Pacheco,RB,KC,KC @ NYG,22.5,2.0,2.7,60.0,12.0,1.35
93,Kareem Hunt,RB,KC,KC @ NYG,22.5,2.0,2.7,60.0,12.0,1.35
94,Brashard Smith,RB,KC,KC @ NYG,22.5,2.0,2.7,60.0,12.0,1.35
95,Elijah Mitchell,RB,KC,KC @ NYG,22.5,2.0,2.7,60.0,12.0,1.35
96,Carson Steele,RB,KC,KC @ NYG,22.5,2.0,2.7,60.0,12.0,1.35
97,Clyde Edwards-Helaire,RB,KC,KC @ NYG,22.5,2.0,2.7,60.0,12.0,1.35
98,Drake London,WR,ATL,ATL @ CAR,22.5,2.0,0.0,70.0,22.0,0.98
99,Darnell Mooney,WR,ATL,ATL @ CAR,22.5,2.0,0.0,70.0,22.0,0.98
100,Ray-Ray McCloud III,WR,ATL,ATL @ CAR,22.5,2.0,0.0,70.0,22.0,0.98
101,Chris Blair,WR,ATL,ATL @ CAR,22.5,2.0,0.0,70.0,22.0,0.98
102,Jalen Hurts,QB,PHI,LAR @ PHI,22.4,0.0,0.4,98.0,0.0,1.20
103,Tanner McKee,QB,PHI,LAR @ PHI,22.4,0.0,0.4,98.0,0.0,1.20
104,Sam Howell,QB,PHI,LAR @ PHI,22.4,0.0,0.4,98.0,0.0,1.20
105,Dak Prescott,QB,DAL,DAL @ CHI,22.4,0.0,0.4,98.0,0.0,1.18
106,Cooper Rush,QB,BAL,DET @ BAL,22.4,0.0,0.4,98.0,0.0,1.18
107,DK Metcalf,WR,PIT,PIT @ NE,22.4,1.9,0.0,70.0,22.0,0.95
108,Calvin Austin III,WR,PIT,PIT @ NE,22.4,1.9,0.0,70.0,22.0,0.95
109,Roman Wilson,WR,PIT,PIT @ NE,22.4,1.9,0.0,70.0,22.0,0.95
110,Ben Skowronek,WR,PIT,PIT @ NE,22.4,1.9,0.0,70.0,22.0,0.95
111,Scotty Miller,WR,PIT,PIT @ NE,22.4,1.9,0.0,70.0,22.0,0.95
112,Garrett Wilson,WR,NYJ,NYJ @ TB,22.4,1.9,0.0,70.0,22.0,0.95
113,Tyler Johnson,WR,NYJ,NYJ @ TB,22.4,1.9,0.0,70.0,22.0,0.95
114,Allen Lazard,WR,NYJ,NYJ @ TB,22.4,1.9,0.0,70.0,22.0,0.95
115,Arian Smith,WR,NYJ,NYJ @ TB,22.4,1.9,0.0,70.0,22.0,0.95
116,Josh Reynolds,WR,NYJ,NYJ @ TB,22.4,1.9,0.0,70.0,22.0,0.95
117,Jaxon Smith-Njigba,WR,SEA,NO @ SEA,22.4,1.9,0.0,70.0,22.0,0.95
118,Tory Horton,WR,SEA,NO @ SEA,22.4,1.9,0.0,70.0,22.0,0.95
119,Jake Bobo,WR,SEA,NO @ SEA,22.4,1.9,0.0,70.0,22.0,0.95
120,Ricky White III,WR,SEA,NO @ SEA,22.4,1.9,0.0,70.0,22.0,0.95
121,Tua Tagovailoa,QB,MIA,MIA @ BUF,22.4,0.0,0.3,98.0,0.0,1.15
122,Zach Wilson,QB,MIA,MIA @ BUF,22.4,0.0,0.3,98.0,0.0,1.15
123,Quinn Ewers,QB,MIA,MIA @ BUF,22.4,0.0,0.3,98.0,0.0,1.15
124,Jake Browning,QB,CIN,CIN @ MIN,22.4,0.0,0.3,98.0,0.0,1.12
125,Joe Burrow,QB,CIN,CIN @ MIN,22.4,0.0,0.3,98.0,0.0,1.12
126,Jared Goff,QB,DET,DET @ BAL,22.4,0.0,0.3,98.0,0.0,1.12
127,Kyle Allen,QB,DET,DET @ BAL,22.4,0.0,0.3,98.0,0.0,1.12
128,Ray Davis,RB,BUF,MIA @ BUF,22.4,2.0,2.6,60.0,12.0,1.30
129,Ty Johnson,RB,BUF,MIA @ BUF,22.4,2.0,2.6,60.0,12.0,1.30
130,Carson Wentz,QB,MIN,CIN @ MIN,22.4,0.0,0.3,98.0,0.0,1.08
131,J.J. McCarthy,QB,MIN,CIN @ MIN,22.4,0.0,0.3,98.0,0.0,1.08
132,Justin Herbert,QB,LAC,DEN @ LAC,22.4,0.0,0.3,98.0,0.0,1.08
133,Trey Lance,QB,LAC,DEN @ LAC,22.4,0.0,0.3,98.0,0.0,1.08
134,C.J. Stroud,QB,HOU,HOU @ JAX,22.3,0.0,0.3,98.0,0.0,1.05
135,Michael Pittman Jr.,WR,IND,IND @ TEN,22.3,1.8,0.0,70.0,22.0,0.90
136,Josh Downs,WR,IND,IND @ TEN,22.3,1.8,0.0,70.0,22.0,0.90
137,Alec Pierce,WR,IND,IND @ TEN,22.3,1.8,0.0,70.0,22.0,0.90
138,Adonai Mitchell,WR,IND,IND @ TEN,22.3,1.8,0.0,70.0,22.0,0.90
139,Mike Evans,WR,TB,NYJ @ TB,22.3,1.8,0.0,70.0,22.0,0.90
140,Emeka Egbuka,WR,TB,NYJ @ TB,22.3,1.8,0.0,70.0,22.0,0.90
141,Sterling Shepard,WR,TB,NYJ @ TB,22.3,1.8,0.0,70.0,22.0,0.90
142,Tez Johnson,WR,TB,NYJ @ TB,22.3,1.8,0.0,70.0,22.0,0.90
143,Chris Godwin Jr.,WR,TB,NYJ @ TB,22.3,1.8,0.0,70.0,22.0,0.90
144,Jalen McMillan,WR,TB,NYJ @ TB,22.3,1.8,0.0,70.0,22.0,0.90
145,Jordan Love,QB,GB,GB @ CLE,22.3,0.0,0.3,98.0,0.0,1.02
146,Malik Willis,QB,GB,GB @ CLE,22.3,0.0,0.3,98.0,0.0,1.02
147,Matthew Stafford,QB,LAR,LAR @ PHI,22.3,0.0,0.3,98.0,0.0,1.02
148,Jimmy Garoppolo,QB,LAR,LAR @ PHI,22.3,0.0,0.3,98.0,0.0,1.02
149,Michael Penix Jr.,QB,ATL,ATL @ CAR,22.3,0.0,0.3,98.0,0.0,0.98
150,Kirk Cousins,QB,ATL,ATL @ CAR,22.3,0.0,0.3,98.0,0.0,0.98
