date,matchday,home,away,home_score,away_score,btts,total_goals,season,home_form_games_played,home_form_goals_scored,home_form_goals_conceded,home_form_btts_rate,home_form_avg_total_goals,away_form_games_played,away_form_goals_scored,away_form_goals_conceded,away_form_btts_rate,away_form_avg_total_goals,h2h_games,h2h_btts_rate,h2h_avg_goals,home_season_games,home_season_goals_scored,home_season_goals_conceded,home_season_btts_rate,home_season_win_rate,home_season_clean_sheets,home_season_failed_to_score,away_season_games,away_season_goals_scored,away_season_goals_conceded,away_season_btts_rate,away_season_win_rate,away_season_clean_sheets,away_season_failed_to_score,combined_form_btts_rate,combined_form_goals,defense_strength_diff,attack_strength_diff,home_season_avg_goals_for,home_season_avg_goals_against,away_season_avg_goals_for,away_season_avg_goals_against
2020-10-17,,20.30  Borussia Mönchengladbach,(0-0)  VfL Wolfsburg,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-18,,15.30  1. FC Köln,(0-1)  Eintracht Frankfurt,1,1,1,2,2020-21,2,3,6,1.0,4.5,0,0,0,0.0,0.0,0,0.0,0.0,2,3,6,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,3,6,3,1.5,3.0,,
2020-10-18,,18.00  FC Schalke 04,(0-0)  1. FC Union Berlin,1,1,1,2,2020-21,0,0,0,0.0,0.0,1,1,1,1.0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,1,1,1.0,0.0,0,0,0.5,1,-1,-1,,,1.0,1.0
2020-10-23,,20.30  VfB Stuttgart,(1-1)  1. FC Köln,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-24,,18.30  Borussia Dortmund,(0-0)  FC Schalke 04,3,0,0,3,2020-21,1,3,0,0.0,3.0,0,0,0,0.0,0.0,0,0.0,0.0,1,3,0,0.0,1.0,1,0,0,0,0,0.0,0.0,0,0,0.0,3,0,3,3.0,0.0,,
2020-10-24,,RB Leipzig,(1-1)  Hertha BSC,2,1,1,3,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-24,,15.30  FC Bayern München,(2-0)  Eintracht Frankfurt,5,0,0,5,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-24,,1. FSV Mainz 05,(2-1)  Borussia Mönchengladbach,2,3,1,5,2020-21,2,1,5,0.5,3.0,0,0,0,0.0,0.0,0,0.0,0.0,2,1,5,0.5,0.0,0,1,0,0,0,0.0,0.0,0,0,0.25,1,5,1,0.5,2.5,,
2020-10-24,,1. FC Union Berlin,(1-1)  SC Freiburg,1,1,1,2,2020-21,1,1,3,1.0,4.0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,3,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,1,3,1,1.0,3.0,,
2020-10-25,,15.30  VfL Wolfsburg,(2-0)  Arminia Bielefeld,2,1,1,3,2020-21,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,1,0,0,0.0,0.0,1,1,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,,
2020-10-25,,18.00  SV Werder Bremen,(1-1)  TSG 1899 Hoffenheim,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-26,,20.30  Bayer 04 Leverkusen,(1-0)  FC Augsburg,3,1,1,4,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-30,,20.30  FC Schalke 04,(1-0)  VfB Stuttgart,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-31,,15.30  1. FC Köln,(0-2)  FC Bayern München,1,2,1,3,2020-21,3,4,7,1.0,3.6666666666666665,0,0,0,0.0,0.0,0,0.0,0.0,3,4,7,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,4,7,4,1.3333333333333333,2.3333333333333335,,
2020-10-31,,Eintracht Frankfurt,(0-0)  SV Werder Bremen,1,1,1,2,2020-21,2,3,2,1.0,2.5,0,0,0,0.0,0.0,0,0.0,0.0,2,3,2,1.0,0.5,0,0,0,0,0,0.0,0.0,0,0,0.5,3,2,3,1.5,1.0,,
2020-10-31,,FC Augsburg,(1-0)  1. FSV Mainz 05,3,1,1,4,2020-21,3,2,2,0.0,1.3333333333333333,1,0,4,0.0,4.0,0,0.0,0.0,3,2,2,0.0,0.3333333333333333,2,2,1,0,4,0.0,0.0,0,1,0.0,2,-2,2,0.6666666666666666,0.6666666666666666,0.0,4.0
2020-10-31,,18.30  Borussia Mönchengladbach,(0-0)  RB Leipzig,1,0,0,1,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-31,,Arminia Bielefeld,(0-0)  Borussia Dortmund,0,2,0,2,2020-21,1,1,0,0.0,1.0,1,1,0,0.0,1.0,0,0.0,0.0,1,1,0,0.0,1.0,1,0,1,1,0,0.0,1.0,1,0,0.0,2,0,0,1.0,0.0,1.0,0.0
2020-11-01,,15.30  SC Freiburg,(1-2)  Bayer 04 Leverkusen,2,4,1,6,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-01,,18.00  Hertha BSC,(1-1)  VfL Wolfsburg,1,1,1,2,2020-21,0,0,0,0.0,0.0,1,1,1,1.0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,1,1,1.0,0.0,0,0,0.5,1,-1,-1,,,1.0,1.0
2020-11-02,,20.30  TSG 1899 Hoffenheim,(0-0)  1. FC Union Berlin,1,3,1,4,2020-21,0,0,0,0.0,0.0,2,2,2,1.0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,2,2,2,1.0,0.0,0,0,0.5,2,-2,-2,,,1.0,1.0
2020-11-06,,20.30  SV Werder Bremen,(0-0)  1. FC Köln,1,1,1,2,2020-21,0,0,0,0.0,0.0,1,0,1,0.0,1.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,1,0.0,0.0,0,1,0.0,0,-1,0,,,0.0,1.0
2020-11-07,,1. FC Union Berlin,(3-0)  Arminia Bielefeld,5,0,0,5,2020-21,2,2,4,1.0,3.0,0,0,0,0.0,0.0,0,0.0,0.0,2,2,4,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,2,4,2,1.0,2.0,,
2020-11-07,,RB Leipzig,(1-0)  SC Freiburg,3,0,0,3,2020-21,1,2,1,1.0,3.0,1,0,4,0.0,4.0,0,0.0,0.0,1,2,1,1.0,1.0,0,0,1,0,4,0.0,0.0,0,1,0.5,2,-3,2,2.0,1.0,0.0,4.0
2020-11-07,,18.30  Borussia Dortmund,(1-1)  FC Bayern München,2,3,1,5,2020-21,2,6,0,0.0,3.0,0,0,0,0.0,0.0,0,0.0,0.0,2,6,0,0.0,1.0,2,0,0,0,0,0.0,0.0,0,0,0.0,6,0,6,3.0,0.0,,
2020-11-07,,FC Augsburg,(0-1)  Hertha BSC,0,3,0,3,2020-21,4,5,3,0.25,2.0,0,0,0,0.0,0.0,0,0.0,0.0,4,5,3,0.25,0.5,2,2,0,0,0,0.0,0.0,0,0,0.125,5,3,5,1.25,0.75,,
2020-11-07,,15.30  VfB Stuttgart,(2-0)  Eintracht Frankfurt,2,2,1,4,2020-21,0,0,0,0.0,0.0,1,0,5,0.0,5.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,5,0.0,0.0,0,1,0.0,0,-5,0,,,0.0,5.0
2020-11-07,,1. FSV Mainz 05,(2-1)  FC Schalke 04,2,2,1,4,2020-21,3,3,8,0.6666666666666666,3.6666666666666665,0,0,0,0.0,0.0,0,0.0,0.0,3,3,8,0.6666666666666666,0.0,0,1,0,0,0,0.0,0.0,0,0,0.3333333333333333,3,8,3,1.0,2.6666666666666665,,
2020-11-08,,15.30  VfL Wolfsburg,(2-0)  TSG 1899 Hoffenheim,2,1,1,3,2020-21,2,2,1,0.5,1.5,0,0,0,0.0,0.0,0,0.0,0.0,2,2,1,0.5,0.5,1,1,0,0,0,0.0,0.0,0,0,0.25,2,1,2,1.0,0.5,,
2020-11-08,,18.00  Bayer 04 Leverkusen,(2-2)  Borussia Mönchengladbach,4,3,1,7,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-21,,20.30  Hertha BSC,(1-0)  Borussia Dortmund,2,5,1,7,2020-21,1,1,3,1.0,4.0,1,0,2,0.0,2.0,0,0.0,0.0,1,1,3,1.0,0.0,0,0,1,0,2,0.0,0.0,0,1,0.5,1,1,1,1.0,3.0,0.0,2.0
2020-11-21,,18.30  Eintracht Frankfurt,(1-0)  RB Leipzig,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-21,,Arminia Bielefeld,(0-1)  Bayer 04 Leverkusen,1,2,1,3,2020-21,2,1,2,0.0,1.5,2,2,1,0.5,1.5,0,0.0,0.0,2,1,2,0.0,0.5,1,1,2,2,1,0.5,0.5,1,0,0.25,3,1,-1,0.5,1.0,1.0,0.5
2020-11-21,,TSG 1899 Hoffenheim,(1-2)  VfB Stuttgart,3,3,1,6,2020-21,1,0,1,0.0,1.0,0,0,0,0.0,0.0,0,0.0,0.0,1,0,1,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,1,0,0.0,1.0,,
2020-11-21,,Borussia Mönchengladbach,(1-0)  FC Augsburg,1,1,1,2,2020-21,0,0,0,0.0,0.0,1,1,3,1.0,4.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,1,3,1.0,0.0,0,0,0.5,1,-3,-1,,,1.0,3.0
2020-11-21,,15.30  FC Schalke 04,(0-2)  VfL Wolfsburg,0,2,0,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-21,,FC Bayern München,(0-1)  SV Werder Bremen,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-22,,15.30  SC Freiburg,(0-3)  1. FSV Mainz 05,1,3,1,4,2020-21,1,2,4,1.0,6.0,0,0,0,0.0,0.0,0,0.0,0.0,1,2,4,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,2,4,2,2.0,4.0,,
2020-11-22,,18.00  1. FC Köln,(1-1)  1. FC Union Berlin,1,2,1,3,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-27,,20.30  VfL Wolfsburg,(3-2)  SV Werder Bremen,5,3,1,8,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-28,,RB Leipzig,(1-0)  Arminia Bielefeld,2,1,1,3,2020-21,2,5,1,0.5,3.0,1,0,1,0.0,1.0,0,0.0,0.0,2,5,1,0.5,1.0,1,0,1,0,1,0.0,0.0,0,1,0.25,5,0,5,2.5,0.5,0.0,1.0
2020-11-28,,18.30  Borussia Mönchengladbach,(2-1)  FC Schalke 04,4,1,1,5,2020-21,1,1,0,0.0,1.0,1,2,2,1.0,4.0,0,0.0,0.0,1,1,0,0.0,1.0,1,0,1,2,2,1.0,0.0,0,0,0.5,3,-2,-1,1.0,0.0,2.0,2.0
2020-11-28,,1. FC Union Berlin,(2-2)  Eintracht Frankfurt,3,3,1,6,2020-21,3,7,4,0.6666666666666666,3.6666666666666665,0,0,0,0.0,0.0,0,0.0,0.0,3,7,4,0.6666666666666666,0.3333333333333333,1,0,0,0,0,0.0,0.0,0,0,0.3333333333333333,7,4,7,2.3333333333333335,1.3333333333333333,,
2020-11-28,,VfB Stuttgart,(1-2)  FC Bayern München,1,3,1,4,2020-21,2,3,4,1.0,3.5,0,0,0,0.0,0.0,0,0.0,0.0,2,3,4,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,3,4,3,1.5,2.0,,
2020-11-28,,FC Augsburg,(0-0)  SC Freiburg,1,1,1,2,2020-21,5,5,6,0.2,2.2,0,0,0,0.0,0.0,0,0.0,0.0,5,5,6,0.2,0.4,2,3,0,0,0,0.0,0.0,0,0,0.1,5,6,5,1.0,1.2,,
2020-11-28,,15.30  Borussia Dortmund,(0-1)  1. FC Köln,1,2,1,3,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-29,,15.30  Bayer 04 Leverkusen,Hertha BSC,0,0,0,0,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-11-29,,18.00  1. FSV Mainz 05,(1-0)  TSG 1899 Hoffenheim,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-12-04,,20.30  Hertha BSC,(0-1)  1. FC Union Berlin,3,1,1,4,2020-21,2,3,8,1.0,5.5,0,0,0,0.0,0.0,0,0.0,0.0,2,3,8,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,3,8,3,1.5,4.0,,
2020-12-05,,18.30  FC Bayern München,(2-2)  RB Leipzig,3,3,1,6,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-12-05,,Arminia Bielefeld,(2-0)  1. FSV Mainz 05,2,1,1,3,2020-21,3,2,4,0.3333333333333333,2.0,1,1,3,1.0,4.0,0,0.0,0.0,3,2,4,0.3333333333333333,0.3333333333333333,1,1,1,1,3,1.0,0.0,0,0,0.6666666666666666,3,1,1,0.6666666666666666,1.3333333333333333,1.0,3.0
2020-12-05,,SC Freiburg,(1-1)  Borussia Mönchengladbach,2,2,1,4,2020-21,1,1,1,1.0,2.0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,1,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,1,1,1,1.0,1.0,,
2020-12-05,,15.30  1. FC Köln,(2-1)  VfL Wolfsburg,2,2,1,4,2020-21,4,5,9,1.0,3.5,0,0,0,0.0,0.0,0,0.0,0.0,4,5,9,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,5,9,5,1.25,2.25,,
2020-12-05,,Eintracht Frankfurt,(1-0)  Borussia Dortmund,1,1,1,2,2020-21,3,4,3,1.0,2.3333333333333335,2,5,4,0.5,4.5,0,0.0,0.0,3,4,3,1.0,0.3333333333333333,0,0,2,5,4,0.5,0.5,0,1,0.75,9,-1,-1,1.3333333333333333,1.0,2.5,2.0
2020-12-06,,15.30  SV Werder Bremen,(0-1)  VfB Stuttgart,1,2,1,3,2020-21,0,0,0,0.0,0.0,1,2,0,0.0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,2,0,0.0,1.0,1,0,0.0,2,0,-2,,,2.0,0.0
2020-12-06,,18.00  FC Schalke 04,(0-1)  Bayer 04 Leverkusen,0,3,0,3,2020-21,1,1,1,1.0,2.0,3,4,2,0.6666666666666666,2.0,0,0.0,0.0,1,1,1,1.0,0.0,0,0,3,4,2,0.6666666666666666,0.6666666666666666,1,0,0.8333333333333333,5,-1,-3,1.0,1.0,1.3333333333333333,0.6666666666666666
2020-12-07,,20.30  TSG 1899 Hoffenheim,(1-1)  FC Augsburg,3,1,1,4,2020-21,1,1,3,1.0,4.0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,3,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,1,3,1,1.0,3.0,,
2020-12-11,,20.30  VfL Wolfsburg,(0-0)  Eintracht Frankfurt,2,1,1,3,2020-21,1,5,3,1.0,8.0,0,0,0,0.0,0.0,0,0.0,0.0,1,5,3,1.0,1.0,0,0,0,0,0,0.0,0.0,0,0,0.5,5,3,5,5.0,3.0,,
